SPIELER;VEREIN;POSITION;MARKTWERT;GESAMTPUNKTE;PUNKTE PRO SPIEL;PREIS-LEISTUNG;HISTORISCHE PUNKTEAUSBEUTE;Positionsgruppe;Datum
Pavlović;Mittelfeld;FC Bayern München;7.230.000;3;3.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Pherai;Mittelfeld;Hamburger SV;420.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Poller;Mittelfeld;TSG Hoffenheim;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Preu;Mittelfeld;1.FC Union Berlin;190.000;0;1.0;Durchschnittlich;Gering bis mittel;Mittelfeld;30.08.2025
Prömel;Mittelfeld;TSG Hoffenheim;1.490.000;0;1.5;Schlecht;Über dem Mittel;Mittelfeld;30.08.2025
Reinheimer;Mittelfeld;FC Augsburg;190.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Reitz;Mittelfeld;Borussia Mönchengladbach;6.960.000;8;8.0;Gut;Über dem Mittel;Mittelfeld;30.08.2025
Remberg;Mittelfeld;Hamburger SV;3.240.000;4;2.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Rexhbeçaj;Mittelfeld;FC Augsburg;1.730.000;3;3.0;Gut;Über dem Mittel;Mittelfeld;30.08.2025
Rothweiler;Mittelfeld;1.FC Heidenheim;190.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Röhl;Mittelfeld;Sport-Club Freiburg;1.670.000;2;2.0;Durchschnittlich;Gering bis mittel;Mittelfeld;30.08.2025
Sabitzer;Mittelfeld;Borussia Dortmund;5.320.000;4;4.0;Gut;Über dem Mittel;Mittelfeld;30.08.2025
Sakar;Mittelfeld;RB Leipzig;170.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Salifou;Mittelfeld;SV Werder Bremen;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Sander;Mittelfeld;Borussia Mönchengladbach;3.470.000;5;5.0;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Sands;Mittelfeld;FC St. Pauli;1.630.000;2;1.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Sano;Mittelfeld;1. FSV Mainz 05;4.450.000;3;3.0;Durchschnittlich;Gering bis mittel;Mittelfeld;30.08.2025
Santos Daiber;Mittelfeld;FC Bayern München;290.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Schlager;Mittelfeld;RB Leipzig;4.430.000;2;2.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Schmid;Mittelfeld;SV Werder Bremen;4.590.000;1;1.0;Schlecht;Über dem Mittel;Mittelfeld;30.08.2025
Schmitz;Mittelfeld;FC St. Pauli;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Schäfer;Mittelfeld;1.FC Union Berlin;1.990.000;2;2.0;Durchschnittlich;Gering bis mittel;Mittelfeld;30.08.2025
Schöppner;Mittelfeld;1.FC Heidenheim;2.250.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Seiwald;Mittelfeld;RB Leipzig;3.450.000;2;2.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Silas;Mittelfeld;VfB Stuttgart;480.000;0;3.2;Gut;Über dem Mittel;Mittelfeld;30.08.2025
Skhiri;Mittelfeld;Eintracht Frankfurt;2.920.000;0;3.3;Gut;Deutlich über dem Mittel;Mittelfeld;30.08.2025
Skov;Mittelfeld;1.FC Union Berlin;2.850.000;3;3.0;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Stage;Mittelfeld;SV Werder Bremen;3.650.000;0;6.0;Gut;Über dem Mittel;Mittelfeld;30.08.2025
Stiller;Mittelfeld;VfB Stuttgart;9.250.000;4;4.0;Schlecht;Über dem Mittel;Mittelfeld;30.08.2025
Stöger;Mittelfeld;Borussia Mönchengladbach;6.450.000;3;3.0;Schlecht;Deutlich über dem Mittel;Mittelfeld;30.08.2025
Suzuki;Mittelfeld;Sport-Club Freiburg;3.670.000;1;1.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Svanberg;Mittelfeld;VfL Wolfsburg;3.690.000;11;11.0;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Swider;Mittelfeld;Borussia Mönchengladbach;170.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Tella;Mittelfeld;Bayer 04 Leverkusen;4.560.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Tillman;Mittelfeld;Bayer 04 Leverkusen;11.710.000;0;1.7;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Tohumcu;Mittelfeld;TSG Hoffenheim;1.520.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Tousart;Mittelfeld;1.FC Union Berlin;300.000;0;2.1;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Veratschnig;Mittelfeld;1. FSV Mainz 05;280.000;0;1.4;Durchschnittlich;Gering bis mittel;Mittelfeld;30.08.2025
Vermeeren;Mittelfeld;RB Leipzig;1.190.000;0;2.0;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;170.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Vini Souza;Mittelfeld;VfL Wolfsburg;4.480.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Weigl;Mittelfeld;Borussia Mönchengladbach;1.820.000;0;3.8;Gut;Über dem Mittel;Mittelfeld;30.08.2025
Weißhaupt;Mittelfeld;Sport-Club Freiburg;1.510.000;0;3.3;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Yalçınkaya;Mittelfeld;Hamburger SV;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Özcan;Mittelfeld;Borussia Dortmund;830.000;0;2.4;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Öztunali;Mittelfeld;Hamburger SV;220.000;0;5.0;Gut;Gering bis mittel;Mittelfeld;30.08.2025
Čović;Mittelfeld;SV Werder Bremen;1.380.000;1;1.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Đurić;Mittelfeld;TSG Hoffenheim;220.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;30.08.2025
Ache;Stürmer;1. FC Köln;4.280.000;1;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Adamu;Stürmer;Sport-Club Freiburg;1.710.000;0;2.1;Gut;Gering bis mittel;Sturm;30.08.2025
Adeyemi;Stürmer;Borussia Dortmund;8.900.000;5;5.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Afolayan;Stürmer;FC St. Pauli;1.870.000;0;3.0;Gut;Gering bis mittel;Sturm;30.08.2025
Aigbekaen;Stürmer;FC St. Pauli;180.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Amoura;Stürmer;VfL Wolfsburg;8.010.000;9;9.0;Gut;Gering bis mittel;Sturm;30.08.2025
Ansah;Stürmer;1.FC Union Berlin;4.870.000;15;15.0;Gut;Gering bis mittel;Sturm;30.08.2025
Asllani;Stürmer;TSG Hoffenheim;8.560.000;11;11.0;Gut;Gering bis mittel;Sturm;30.08.2025
Awusi;Stürmer;Eintracht Frankfurt;190.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Bahoya;Stürmer;Eintracht Frankfurt;9.030.000;17;17.0;Gut;Gering bis mittel;Sturm;30.08.2025
Bakayoko;Stürmer;RB Leipzig;10.720.000;1;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Baldé;Stürmer;Hamburger SV;430.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Batshuayi;Stürmer;Eintracht Frankfurt;1.180.000;0;3.8;Gut;Gering bis mittel;Sturm;30.08.2025
Bebou;Stürmer;TSG Hoffenheim;810.000;0;0.0;Schlecht;Deutlich über dem Mittel;Sturm;30.08.2025
Beier;Stürmer;Borussia Dortmund;4.800.000;0;4.0;Gut;Über dem Mittel;Sturm;30.08.2025
Berisha;Stürmer;TSG Hoffenheim;460.000;0;2.7;Gut;Gering bis mittel;Sturm;30.08.2025
Bobzien;Stürmer;1. FSV Mainz 05;790.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Boniface;Stürmer;Bayer 04 Leverkusen;4.710.000;0;4.9;Gut;Über dem Mittel;Sturm;30.08.2025
Breunig;Stürmer;1.FC Heidenheim;380.000;0;2.7;Gut;Gering bis mittel;Sturm;30.08.2025
Burcu;Stürmer;1.FC Union Berlin;220.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Burkardt;Stürmer;Eintracht Frankfurt;10.470.000;0;0.0;Schlecht;Über dem Mittel;Sturm;30.08.2025
Burke;Stürmer;1.FC Union Berlin;2.540.000;1;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Bülter;Stürmer;1. FC Köln;6.380.000;11;11.0;Gut;Über dem Mittel;Sturm;30.08.2025
Campbell;Stürmer;Borussia Dortmund;890.000;0;1.5;Gut;Gering bis mittel;Sturm;30.08.2025
Ceesay;Stürmer;FC St. Pauli;1.040.000;3;3.0;Gut;Gering bis mittel;Sturm;30.08.2025
Conteh;Stürmer;1.FC Heidenheim;1.340.000;0;2.0;Gut;Gering bis mittel;Sturm;30.08.2025
Demirović;Stürmer;VfB Stuttgart;6.340.000;2;2.0;Schlecht;Deutlich über dem Mittel;Sturm;30.08.2025
Diehl;Stürmer;VfB Stuttgart;430.000;0;2.4;Gut;Gering bis mittel;Sturm;30.08.2025
Dinkçi;Stürmer;Sport-Club Freiburg;3.630.000;-2;-2.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Diomande;Stürmer;RB Leipzig;6.870.000;2;2.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Dompé;Stürmer;Hamburger SV;5.300.000;4;2.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Dong;Stürmer;FC Augsburg;260.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Duranville;Stürmer;Borussia Dortmund;620.000;0;1.3;Gut;Gering bis mittel;Sturm;30.08.2025
Essende;Stürmer;FC Augsburg;1.280.000;0;2.4;Gut;Gering bis mittel;Sturm;30.08.2025
Gaul Souza;Stürmer;Eintracht Frankfurt;200.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Glatzel;Stürmer;Hamburger SV;2.920.000;0;2.0;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Gnabry;Stürmer;FC Bayern München;12.180.000;9;9.0;Gut;Deutlich über dem Mittel;Sturm;30.08.2025
Gomis;Stürmer;RB Leipzig;510.000;0;2.4;Gut;Gering bis mittel;Sturm;30.08.2025
Grüll;Stürmer;SV Werder Bremen;3.550.000;4;4.0;Gut;Gering bis mittel;Sturm;30.08.2025
Guirassy;Stürmer;Borussia Dortmund;17.950.000;7;7.0;Schlecht;Deutlich über dem Mittel;Sturm;30.08.2025
Hack;Stürmer;Borussia Mönchengladbach;7.340.000;6;6.0;Gut;Über dem Mittel;Sturm;30.08.2025
Hennrich;Stürmer;TSG Hoffenheim;200.000;0;1.0;Gut;Gering bis mittel;Sturm;30.08.2025
Hložek;Stürmer;TSG Hoffenheim;1.720.000;0;5.0;Gut;Gering bis mittel;Sturm;30.08.2025
Hollerbach;Stürmer;1. FSV Mainz 05;4.820.000;2;2.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Honorat;Stürmer;Borussia Mönchengladbach;8.330.000;5;5.0;Schlecht;Über dem Mittel;Sturm;30.08.2025
Honsak;Stürmer;1.FC Heidenheim;2.460.000;2;2.0;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Hountondji;Stürmer;FC St. Pauli;4.220.000;7;3.5;Gut;Gering bis mittel;Sturm;30.08.2025
Hämmerle;Stürmer;FC Augsburg;210.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Höler;Stürmer;Sport-Club Freiburg;4.800.000;3;3.0;Schlecht;Deutlich über dem Mittel;Sturm;30.08.2025
Ilić;Stürmer;1.FC Union Berlin;4.920.000;4;4.0;Gut;Gering bis mittel;Sturm;30.08.2025
Irié;Stürmer;Sport-Club Freiburg;1.480.000;2;2.0;Gut;Gering bis mittel;Sturm;30.08.2025
İnanoğlu;Stürmer;Eintracht Frankfurt;190.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Jatta;Stürmer;Hamburger SV;660.000;0;1.0;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Jones;Stürmer;FC St. Pauli;290.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Jovanović;Stürmer;VfB Stuttgart;1.850.000;2;2.0;Gut;Gering bis mittel;Sturm;30.08.2025
Kabadayi;Stürmer;FC Augsburg;190.000;0;3.2;Gut;Gering bis mittel;Sturm;30.08.2025
Kane;Stürmer;FC Bayern München;21.630.000;21;21.0;Gut;Über dem Mittel;Sturm;30.08.2025
Kastanaras;Stürmer;VfB Stuttgart;190.000;0;0.7;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Kaufmann;Stürmer;1.FC Heidenheim;930.000;2;2.0;Gut;Gering bis mittel;Sturm;30.08.2025
Kleindienst;Stürmer;Borussia Mönchengladbach;5.400.000;0;6.6;Gut;Über dem Mittel;Sturm;30.08.2025
Kofane;Stürmer;Bayer 04 Leverkusen;3.020.000;1;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Kusi-Asare;Stürmer;FC Bayern München;1.940.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Königsdörffer;Stürmer;Hamburger SV;4.250.000;1;0.5;Schlecht;Gering bis mittel;Sturm;30.08.2025
Lemperle;Stürmer;TSG Hoffenheim;5.460.000;9;9.0;Gut;Gering bis mittel;Sturm;30.08.2025
Ljubičić;Stürmer;1.FC Union Berlin;500.000;0;1.9;Gut;Gering bis mittel;Sturm;30.08.2025
M. El Mala;Stürmer;1. FC Köln;520.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
M. Philipp;Stürmer;Sport-Club Freiburg;260.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Matanović;Stürmer;Sport-Club Freiburg;2.980.000;0;2.1;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Michaelis;Stürmer;Borussia Mönchengladbach;180.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Milošević;Stürmer;VfB Stuttgart;200.000;0;1.3;Gut;Gering bis mittel;Sturm;30.08.2025
Moerstedt;Stürmer;TSG Hoffenheim;1.640.000;0;2.4;Gut;Gering bis mittel;Sturm;30.08.2025
Mokwa;Stürmer;TSG Hoffenheim;240.000;0;1.5;Gut;Gering bis mittel;Sturm;30.08.2025
Mounié;Stürmer;FC Augsburg;1.390.000;0;2.4;Gut;Gering bis mittel;Sturm;30.08.2025
Ngankam;Stürmer;Eintracht Frankfurt;180.000;0;0.4;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Ngoumou;Stürmer;Borussia Mönchengladbach;360.000;0;3.3;Gut;Gering bis mittel;Sturm;30.08.2025
Njinmah;Stürmer;SV Werder Bremen;4.180.000;8;8.0;Gut;Gering bis mittel;Sturm;30.08.2025
Nusa;Stürmer;RB Leipzig;8.510.000;2;2.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Olise;Stürmer;FC Bayern München;20.150.000;15;15.0;Gut;Gering bis mittel;Sturm;30.08.2025
Openda;Stürmer;RB Leipzig;9.750.000;2;2.0;Schlecht;Über dem Mittel;Sturm;30.08.2025
Pejčinović;Stürmer;VfL Wolfsburg;3.890.000;1;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Pereira Lage;Stürmer;FC St. Pauli;2.680.000;4;2.0;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Philippe;Stürmer;Hamburger SV;2.120.000;1;0.5;Schlecht;Gering bis mittel;Sturm;30.08.2025
Pieringer;Stürmer;1.FC Heidenheim;1.710.000;0;4.5;Gut;Über dem Mittel;Sturm;30.08.2025
Poulsen;Stürmer;Hamburger SV;4.110.000;4;2.0;Schlecht;Über dem Mittel;Sturm;30.08.2025
Ranos;Stürmer;Borussia Mönchengladbach;610.000;0;0.5;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Reyna;Stürmer;Borussia Mönchengladbach;3.260.000;0;2.4;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Rondić;Stürmer;1. FC Köln;180.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Røssing-Lelesiit;Stürmer;Hamburger SV;1.830.000;2;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
S. Banks;Stürmer;FC St. Pauli;300.000;0;1.3;Gut;Gering bis mittel;Sturm;30.08.2025
S. El Mala;Stürmer;1. FC Köln;3.910.000;2;2.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Saad;Stürmer;FC Augsburg;2.600.000;2;2.0;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Sahiti;Stürmer;Hamburger SV;1.580.000;2;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Sarco;Stürmer;Bayer 04 Leverkusen;170.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Scherhant;Stürmer;Sport-Club Freiburg;1.230.000;1;1.0;Durchschnittlich;Gering bis mittel;Sturm;30.08.2025
Schick;Stürmer;Bayer 04 Leverkusen;12.200.000;3;3.0;Schlecht;Deutlich über dem Mittel;Sturm;30.08.2025
Schimmer;Stürmer;1.FC Heidenheim;440.000;0;1.8;Gut;Gering bis mittel;Sturm;30.08.2025
Scienza;Stürmer;1.FC Heidenheim;5.770.000;10;10.0;Gut;Gering bis mittel;Sturm;30.08.2025
Sieb;Stürmer;1. FSV Mainz 05;2.050.000;2;2.0;Gut;Gering bis mittel;Sturm;30.08.2025
Sinani;Stürmer;FC St. Pauli;4.770.000;13;6.5;Gut;Gering bis mittel;Sturm;30.08.2025
Skarke;Stürmer;1.FC Union Berlin;690.000;0;1.8;Gut;Gering bis mittel;Sturm;30.08.2025
Skov Olsen;Stürmer;VfL Wolfsburg;5.340.000;12;12.0;Gut;Gering bis mittel;Sturm;30.08.2025
Tabaković;Stürmer;Borussia Mönchengladbach;4.650.000;2;2.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Terrier;Stürmer;Bayer 04 Leverkusen;1.190.000;0;3.5;Gut;Gering bis mittel;Sturm;30.08.2025
Thielmann;Stürmer;1. FC Köln;2.380.000;1;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Tiago Tomás;Stürmer;VfB Stuttgart;6.340.000;9;9.0;Gut;Gering bis mittel;Sturm;30.08.2025
Tietz;Stürmer;FC Augsburg;3.000.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Topp;Stürmer;SV Werder Bremen;1.740.000;1;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Undav;Stürmer;VfB Stuttgart;9.040.000;3;3.0;Schlecht;Über dem Mittel;Sturm;30.08.2025
Uzun;Stürmer;Eintracht Frankfurt;10.550.000;13;13.0;Gut;Gering bis mittel;Sturm;30.08.2025
Wahi;Stürmer;Eintracht Frankfurt;3.650.000;2;2.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Waldschmidt;Stürmer;1. FC Köln;2.920.000;4;4.0;Gut;Gering bis mittel;Sturm;30.08.2025
Weiper;Stürmer;1. FSV Mainz 05;6.260.000;3;3.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Werner;Stürmer;RB Leipzig;1.500.000;0;2.3;Gut;Gering bis mittel;Sturm;30.08.2025
Wimmer;Stürmer;VfL Wolfsburg;5.160.000;3;3.0;Schlecht;Deutlich über dem Mittel;Sturm;30.08.2025
Wind;Stürmer;VfL Wolfsburg;4.900.000;0;5.1;Gut;Über dem Mittel;Sturm;30.08.2025
Woltemade;Stürmer;VfB Stuttgart;12.370.000;2;2.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Zeitler;Stürmer;TSG Hoffenheim;350.000;0;0.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Zivzivadze;Stürmer;1.FC Heidenheim;2.520.000;1;1.0;Schlecht;Gering bis mittel;Sturm;30.08.2025
Černý;Stürmer;VfL Wolfsburg;1.260.000;0;2.5;Gut;Gering bis mittel;Sturm;30.08.2025
Atubolu;Torhüter;Sport-Club Freiburg;3.010.000;1;1.0;Schlecht;Über dem Mittel;Torhüter;31.08.2025
Backhaus;Torhüter;SV Werder Bremen;2.320.000;0;0.0;Durchschnittlich;Gering bis mittel;Torhüter;31.08.2025
Batz;Torhüter;1. FSV Mainz 05;160.000;0;4.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Baumann;Torhüter;TSG Hoffenheim;2.920.000;3;1.5;Schlecht;Deutlich über dem Mittel;Torhüter;31.08.2025
Blaswich;Torhüter;Bayer 04 Leverkusen;540.000;0;2.7;Gut;Gering bis mittel;Torhüter;31.08.2025
Bredlow;Torhüter;VfB Stuttgart;450.000;0;6.3;Gut;Gering bis mittel;Torhüter;31.08.2025
D. Klein;Torhüter;FC Augsburg;170.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Dahmen;Torhüter;FC Augsburg;2.830.000;3;1.5;Schlecht;Gering bis mittel;Torhüter;31.08.2025
Dickes;Torhüter;Hamburger SV;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Drewes;Torhüter;Borussia Dortmund;180.000;0;2.5;Gut;Gering bis mittel;Torhüter;31.08.2025
Drljača;Torhüter;VfB Stuttgart;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
F. Müller;Torhüter;Sport-Club Freiburg;210.000;0;0.4;Gut;Gering bis mittel;Torhüter;31.08.2025
Feller;Torhüter;1.FC Heidenheim;160.000;0;2.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Flekken;Torhüter;Bayer 04 Leverkusen;2.700.000;2;1.0;Schlecht;Über dem Mittel;Torhüter;31.08.2025
Grabara;Torhüter;VfL Wolfsburg;2.830.000;2;2.0;Durchschnittlich;Gering bis mittel;Torhüter;31.08.2025
Grahl;Torhüter;Eintracht Frankfurt;280.000;0;4.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Gulácsi;Torhüter;RB Leipzig;2.510.000;-3;-1.5;Schlecht;Über dem Mittel;Torhüter;31.08.2025
Hermann;Torhüter;Hamburger SV;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Heuer Fernandes;Torhüter;Hamburger SV;2.460.000;6;3.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Huth;Torhüter;Sport-Club Freiburg;160.000;0;-0.2;Gut;Gering bis mittel;Torhüter;31.08.2025
Jäger;Torhüter;FC Augsburg;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
K. Müller;Torhüter;1.FC Heidenheim;630.000;0;2.5;Gut;Über dem Mittel;Torhüter;31.08.2025
Kauã Santos;Torhüter;Eintracht Frankfurt;2.200.000;0;4.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Klanac;Torhüter;FC Bayern München;170.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Klaus;Torhüter;1.FC Union Berlin;290.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Kobel;Torhüter;Borussia Dortmund;2.940.000;3;3.0;Gut;Deutlich über dem Mittel;Torhüter;31.08.2025
Kolke;Torhüter;SV Werder Bremen;180.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Köbbing;Torhüter;1. FC Köln;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
L. Philipp;Torhüter;TSG Hoffenheim;210.000;0;1.2;Gut;Gering bis mittel;Torhüter;31.08.2025
Labrović;Torhüter;FC Augsburg;220.000;0;2.8;Gut;Gering bis mittel;Torhüter;31.08.2025
Lade;Torhüter;TSG Hoffenheim;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Lomb;Torhüter;Bayer 04 Leverkusen;160.000;0;-1.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Ma. Müller;Torhüter;VfL Wolfsburg;200.000;0;3.7;Gut;Gering bis mittel;Torhüter;31.08.2025
Meyer;Torhüter;Borussia Dortmund;280.000;0;4.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Neuer;Torhüter;FC Bayern München;2.700.000;4;2.0;Gut;Über dem Mittel;Torhüter;31.08.2025
Nicolas;Torhüter;Borussia Mönchengladbach;2.970.000;3;1.5;Schlecht;Über dem Mittel;Torhüter;31.08.2025
Nübel;Torhüter;VfB Stuttgart;3.010.000;-1;-0.5;Schlecht;Über dem Mittel;Torhüter;31.08.2025
Obert;Torhüter;Eintracht Frankfurt;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Omlin;Torhüter;Borussia Mönchengladbach;570.000;0;2.1;Gut;Gering bis mittel;Torhüter;31.08.2025
Ostrzinski;Torhüter;Borussia Dortmund;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Pereira Cardoso;Torhüter;Borussia Mönchengladbach;200.000;0;4.6;Gut;Gering bis mittel;Torhüter;31.08.2025
Peretz;Torhüter;Hamburger SV;910.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Pervan;Torhüter;VfL Wolfsburg;160.000;0;1.6;Gut;Gering bis mittel;Torhüter;31.08.2025
Petersson;Torhüter;TSG Hoffenheim;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Raab;Torhüter;1.FC Union Berlin;280.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Ramaj;Torhüter;1.FC Heidenheim;2.090.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Rapsch;Torhüter;Bayer 04 Leverkusen;170.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Rieß;Torhüter;1. FSV Mainz 05;170.000;0;3.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Rönnow;Torhüter;1.FC Union Berlin;3.560.000;8;8.0;Gut;Deutlich über dem Mittel;Torhüter;31.08.2025
Schwäbe;Torhüter;1. FC Köln;2.670.000;4;4.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Siljević;Torhüter;Eintracht Frankfurt;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Sippel;Torhüter;Borussia Mönchengladbach;160.000;0;-2.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Spari;Torhüter;FC St. Pauli;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Stein;Torhüter;1.FC Union Berlin;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
T. Philipp;Torhüter;TSG Hoffenheim;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Tschernuth;Torhüter;1.FC Heidenheim;160.000;0;0.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Urbig;Torhüter;FC Bayern München;440.000;0;0.8;Gut;Gering bis mittel;Torhüter;31.08.2025
Vandevoordt;Torhüter;RB Leipzig;1.010.000;0;1.5;Gut;Gering bis mittel;Torhüter;31.08.2025
Vasilj;Torhüter;FC St. Pauli;2.940.000;4;2.0;Durchschnittlich;Gering bis mittel;Torhüter;31.08.2025
Voll;Torhüter;FC St. Pauli;180.000;0;2.0;Gut;Gering bis mittel;Torhüter;31.08.2025
Zentner;Torhüter;1. FSV Mainz 05;3.470.000;4;4.0;Durchschnittlich;Deutlich über dem Mittel;Torhüter;31.08.2025
