Spieler;Marktwert;Besitzer;TM_Stand
Pesch;230.000;Nico;03.06.2025
Kusi-Asare;1.130.000;Computer;03.06.2025
Muheim;3.340.000;Nico;03.06.2025
L. Reis;2.850.000;Alfons;03.06.2025
Suzuki;6.810.000;Nico;03.06.2025
Neuer;2.500.000;Dominik;04.06.2025
Batz;220.000;Computer;04.06.2025
Höfler;460.000;Alfons;04.06.2025
Bittencourt;1.220.000;Pascal;04.06.2025
Gregoritsch;1.900.000;Nico;04.06.2025
K. Müller;1.490.000;Christoph;04.06.2025
Haberer;1.630.000;Computer;04.06.2025
Zentner;3.380.000;Nico;04.06.2025
M. Eggestein;4.890.000;Thomas;04.06.2025
Zetterer;2.370.000;Christoph;04.06.2025
Mittelstädt;10.650.000;Thomas;04.06.2025
Gulácsi;3.190.000;Alfons;04.06.2025
Poulsen;1.540.000;Pascal;04.06.2025
Dorsch;1.590.000;Nico;04.06.2025
Heuer Fernandes;2.170.000;Computer;04.06.2025
B. Jatta;1.920.000;Thomas;04.06.2025
Wahl;3.380.000;Thomas;04.06.2025
Geiger;1.070.000;Nico;04.06.2025
Bruun Larsen;1.280.000;Thomas;04.06.2025
Meyer;250.000;Thomas;04.06.2025
Dahmen;2.570.000;Thomas;04.06.2025
Muslija;460.000;Dominik;04.06.2025
Tietz;3.740.000;Computer;04.06.2025
Osterhage;2.540.000;Thomas;04.06.2025
Skhiri;4.200.000;Computer;04.06.2025
Ngankam;500.000;Dominik;04.06.2025
Musiala;15.290.000;Thomas;04.06.2025
Doan;12.980.000;Thomas;04.06.2025
Martel;4.120.000;Alfons;04.06.2025
Dinkçi;1.280.000;Alfons;04.06.2025
Knauff;5.430.000;Nico;04.06.2025
Stiller;12.520.000;Christoph;04.06.2025
Widmer;800.000;Computer;04.06.2025
Doekhi;3.830.000;Nico;04.06.2025
Skarke;1.410.000;Thomas;04.06.2025
Koudossou;440.000;Dominik;04.06.2025
Berisha;1.910.000;Pascal;04.06.2025
Diehl;470.000;Thomas;04.06.2025
Juranović;1.300.000;Computer;04.06.2025
Traoré;1.250.000;Christoph;04.06.2025
Rosenfelder;1.580.000;Alfons;04.06.2025
Čvančara;1.260.000;Computer;04.06.2025
Boniface;7.960.000;Alfons;04.06.2025
Hollerbach;6.630.000;Computer;04.06.2025
Kovář;450.000;Computer;04.06.2025
Stergiou;1.200.000;Dominik;04.06.2025
Pavlović;9.480.000;Nico;04.06.2025
Fukuda;300.000;Alfons;04.06.2025
Wätjen;370.000;Thomas;04.06.2025
B. Dárdai;1.980.000;Dominik;04.06.2025
Vasilj;2.920.000;Dominik;04.06.2025
Dźwigała;210.000;Christoph;04.06.2025
Saliakas;3.300.000;Nico;04.06.2025
Irvine;3.250.000;Computer;04.06.2025
Sander;1.800.000;Dominik;04.06.2025
Ouédraogo;1.920.000;Nico;04.06.2025
Querfeld;4.030.000;Alfons;04.06.2025
Veratschnig;450.000;Christoph;04.06.2025
Hendriks;1.390.000;Nico;04.06.2025
Uzun;3.680.000;Christoph;04.06.2025
Preu;410.000;Christoph;04.06.2025
Højlund;1.540.000;Alfons;04.06.2025
Kristensen;7.670.000;Alfons;04.06.2025
Koulierakis;3.580.000;Pascal;04.06.2025
Tabaković;1.930.000;Alfons;04.06.2025
Hranáč;190.000;Alfons;04.06.2025
Chaves;2.490.000;Computer;04.06.2025
Hennrich;160.000;Dominik;04.06.2025
Swider;160.000;Christoph;04.06.2025
G. Orban;1.810.000;Nico;04.06.2025
Gleiber;190.000;Christoph;04.06.2025
Schmitz;170.000;Computer;04.06.2025
Čović;190.000;Computer;04.06.2025
Wahi;2.710.000;Nico;04.06.2025
Ljubičić;590.000;Computer;04.06.2025
Vidić;160.000;Thomas;04.06.2025
Pesch;220.000;Nico;04.06.2025
Muheim;3.540.000;Nico;04.06.2025
L. Reis;2.670.000;Alfons;04.06.2025
Suzuki;6.690.000;Nico;04.06.2025
Dong;660.000;Pascal;04.06.2025
Neuer;2.460.000;Dominik;05.06.2025
Götze;2.500.000;Christoph;05.06.2025
Höfler;470.000;Alfons;05.06.2025
Ma. Müller;160.000;Computer;05.06.2025
Gregoritsch;2.180.000;Nico;05.06.2025
K. Müller;1.560.000;Christoph;05.06.2025
Haberer;1.730.000;Computer;05.06.2025
Zentner;3.560.000;Nico;05.06.2025
M. Eggestein;4.830.000;Thomas;05.06.2025
Zetterer;2.320.000;Christoph;05.06.2025
Mittelstädt;10.610.000;Thomas;05.06.2025
Gulácsi;3.300.000;Alfons;05.06.2025
Dorsch;1.710.000;Nico;05.06.2025
Heuer Fernandes;2.380.000;Computer;05.06.2025
B. Jatta;2.140.000;Thomas;05.06.2025
Wahl;3.750.000;Thomas;05.06.2025
Geiger;1.040.000;Nico;05.06.2025
Bruun Larsen;1.330.000;Thomas;05.06.2025
Hack;5.430.000;Christoph;05.06.2025
Meyer;250.000;Thomas;05.06.2025
Dahmen;2.660.000;Thomas;05.06.2025
Baumgartner;2.440.000;Computer;05.06.2025
Muslija;480.000;Dominik;05.06.2025
Osterhage;2.510.000;Thomas;05.06.2025
Skhiri;4.200.000;Computer;05.06.2025
Ngankam;470.000;Dominik;05.06.2025
Musiala;15.450.000;Thomas;05.06.2025
Doan;12.930.000;Thomas;05.06.2025
Martel;4.280.000;Alfons;05.06.2025
Dinkçi;1.530.000;Alfons;05.06.2025
Knauff;5.510.000;Nico;05.06.2025
Stiller;11.740.000;Christoph;05.06.2025
Widmer;800.000;Computer;05.06.2025
Ilaix Moriba;230.000;Computer;05.06.2025
Doekhi;3.960.000;Nico;05.06.2025
Skarke;1.380.000;Thomas;05.06.2025
Koudossou;460.000;Dominik;05.06.2025
Diehl;490.000;Thomas;05.06.2025
Juranović;1.400.000;Computer;05.06.2025
Traoré;1.180.000;Christoph;05.06.2025
Rosenfelder;1.650.000;Alfons;05.06.2025
Čvančara;1.230.000;Computer;05.06.2025
Boniface;8.330.000;Alfons;05.06.2025
Finkgräfe;1.740.000;Computer;05.06.2025
Stergiou;1.250.000;Dominik;05.06.2025
Pavlović;9.810.000;Nico;05.06.2025
Fukuda;340.000;Alfons;05.06.2025
Wätjen;360.000;Thomas;05.06.2025
B. Dárdai;1.850.000;Dominik;05.06.2025
Vasilj;3.080.000;Dominik;05.06.2025
Dźwigała;200.000;Christoph;05.06.2025
Saliakas;3.440.000;Nico;05.06.2025
Irvine;3.410.000;Computer;05.06.2025
Sander;2.060.000;Dominik;05.06.2025
Ouédraogo;1.910.000;Nico;05.06.2025
Querfeld;4.120.000;Alfons;05.06.2025
Veratschnig;430.000;Christoph;05.06.2025
Hendriks;1.450.000;Nico;05.06.2025
Uzun;4.170.000;Christoph;05.06.2025
Preu;390.000;Christoph;05.06.2025
Højlund;1.590.000;Alfons;05.06.2025
Kristensen;7.700.000;Alfons;05.06.2025
Tabaković;1.930.000;Alfons;05.06.2025
Hranáč;190.000;Alfons;05.06.2025
Vermeeren;2.100.000;Christoph;05.06.2025
Chaves;2.580.000;Computer;05.06.2025
Hennrich;170.000;Dominik;05.06.2025
Swider;160.000;Christoph;05.06.2025
G. Orban;1.890.000;Nico;05.06.2025
Čović;200.000;Computer;05.06.2025
Wahi;2.710.000;Nico;05.06.2025
B. Touré;3.050.000;Christoph;05.06.2025
Ljubičić;620.000;Computer;05.06.2025
Vidić;160.000;Thomas;05.06.2025
Pesch;210.000;Nico;05.06.2025
Muheim;3.650.000;Nico;05.06.2025
Agyekum;380.000;Computer;05.06.2025
Suzuki;6.750.000;Nico;05.06.2025
Neuer;2.310.000;Dominik;06.06.2025
Götze;2.870.000;Christoph;06.06.2025
Höfler;440.000;Alfons;06.06.2025
Ma. Müller;190.000;Computer;06.06.2025
Gregoritsch;2.290.000;Nico;06.06.2025
J. Hofmann;3.810.000;Computer;06.06.2025
K. Müller;1.590.000;Christoph;06.06.2025
Gerhardt;840.000;Christian;06.06.2025
Friedrich;840.000;Dominik;06.06.2025
Zentner;3.590.000;Nico;06.06.2025
