SPIELER;POSITION;TEAM;PUNKTE;MARKTWERT;ZIELWERT;PUNKTE / SPIEL;KAUFEMPFEHLUNG;PREIS-LEISSTUNG;GEBOTSVORHERSAGE;BESITZER;Datum
Hämmerle;Stürmer;FC Augsburg;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;13.08.2025
M. El Mala;Stürmer;1. FC Köln;0;580.000;570.000;0,0;Halten;Schlecht;0;Computer;13.08.2025
Jóhannesson;Mittelfeld;1. FC Köln;0;3.850.000;3.870.000;0,0;Halten;Schlecht;0;Computer;13.08.2025
Musah;Stürmer;SV Werder Bremen;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;13.08.2025
Alfa-Ruprecht;Stürmer;Bayer 04 Leverkusen;0;1.910.000;1.910.000;0,0;Halten;Schlecht;0;Computer;13.08.2025
Chandler;Mittelfeld;Eintracht Frankfurt;3;170.000;170.000;3,0;Halten;Gut;2;Computer;14.08.2025
Zetterer;Torhüter;SV Werder Bremen;95;2.290.000;2.300.000;2,8;Halten;Durchschnittlich;2;Computer;14.08.2025
Kimmich;Mittelfeld;FC Bayern München;264;16.600.000;16.600.000;8,0;Halten;Durchschnittlich;2;Computer;14.08.2025
Kilian;Abwehr;1. FC Köln;0;170.000;170.000;0,9;Halten;Durchschnittlich;0;Computer;14.08.2025
Schlager;Mittelfeld;RB Leipzig;6;4.720.000;4.820.000;1,5;Halten;Schlecht;0;Computer;14.08.2025
Drljača;Torhüter;VfB Stuttgart;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;14.08.2025
D. Nemeth;Abwehr;FC St. Pauli;77;1.790.000;1.800.000;3,2;Halten;Gut;0;Computer;14.08.2025
Ullrich;Abwehr;Borussia Mönchengladbach;40;1.750.000;1.740.000;1,5;Halten;Schlecht;0;Computer;14.08.2025
Vasilj;Torhüter;FC St. Pauli;117;2.690.000;2.650.000;3,5;Halten;Durchschnittlich;2;Computer;14.08.2025
Campbell;Stürmer;Borussia Dortmund;3;1.350.000;1.350.000;1,5;Halten;Durchschnittlich;0;Computer;14.08.2025
N. Banks;Abwehr;FC Augsburg;15;1.220.000;1.180.000;2,1;Halten;Gut;0;Computer;14.08.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;14.08.2025
Hämmerle;Stürmer;FC Augsburg;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;14.08.2025
Raab;Torhüter;1.FC Union Berlin;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;14.08.2025
Musah;Stürmer;SV Werder Bremen;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;14.08.2025
Süle;Abwehr;Borussia Dortmund;43;2.380.000;2.390.000;2,9;Halten;Gut;0;Computer;15.08.2025
Kimmich;Mittelfeld;FC Bayern München;264;16.580.000;16.130.000;8,0;Halten;Durchschnittlich;2;Computer;15.08.2025
Kilian;Abwehr;1. FC Köln;0;170.000;170.000;0,9;Halten;Durchschnittlich;0;Computer;15.08.2025
Schlager;Mittelfeld;RB Leipzig;6;4.780.000;4.900.000;1,5;Halten;Schlecht;0;Computer;15.08.2025
Pedersen;Abwehr;FC Augsburg;3;200.000;200.000;0,6;Halten;Schlecht;0;Computer;15.08.2025
Widmer;Abwehr;1. FSV Mainz 05;37;450.000;460.000;1,9;Halten;Gut;0;Computer;15.08.2025
Majer;Mittelfeld;VfL Wolfsburg;42;5.200.000;5.140.000;4,7;Halten;Gut;1;Computer;15.08.2025
Vasilj;Torhüter;FC St. Pauli;117;2.730.000;2.710.000;3,5;Halten;Durchschnittlich;2;Computer;15.08.2025
N. Banks;Abwehr;FC Augsburg;15;1.300.000;1.270.000;2,1;Halten;Gut;0;Computer;15.08.2025
Gendrey;Abwehr;TSG Hoffenheim;75;470.000;470.000;3,4;Halten;Gut;0;Computer;15.08.2025
Hämmerle;Stürmer;FC Augsburg;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;15.08.2025
Raab;Torhüter;1.FC Union Berlin;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;15.08.2025
Robatsch;Abwehr;FC St. Pauli;0;280.000;280.000;0,0;Halten;Schlecht;0;Computer;15.08.2025
Musah;Stürmer;SV Werder Bremen;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;15.08.2025
Poku;Mittelfeld;Bayer 04 Leverkusen;0;6.060.000;7.310.000;0,0;;Schlecht;1;Computer;15.08.2025
Höfler;Mittelfeld;Sport-Club Freiburg;42;680.000;680.000;2,5;Halten;Gut;0;Computer;16.08.2025
Süle;Abwehr;Borussia Dortmund;43;2.240.000;2.250.000;2,9;Halten;Gut;0;Computer;16.08.2025
Kimmich;Mittelfeld;FC Bayern München;264;15.480.000;15.390.000;8,0;Halten;Gut;2;Computer;16.08.2025
Pedersen;Abwehr;FC Augsburg;3;200.000;200.000;0,6;Halten;Schlecht;0;Computer;16.08.2025
Palacios;Mittelfeld;Bayer 04 Leverkusen;95;4.550.000;4.510.000;4,5;Halten;Gut;0;Computer;16.08.2025
Drljača;Torhüter;VfB Stuttgart;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;16.08.2025
Widmer;Abwehr;1. FSV Mainz 05;37;450.000;450.000;1,9;Halten;Gut;0;Computer;16.08.2025
Majer;Mittelfeld;VfL Wolfsburg;42;4.780.000;4.860.000;4,7;Halten;Gut;1;Computer;16.08.2025
Finkgräfe;Abwehr;RB Leipzig;0;980.000;970.000;2,6;Halten;Gut;0;Computer;16.08.2025
Gendrey;Abwehr;TSG Hoffenheim;75;450.000;450.000;3,4;Halten;Gut;0;Computer;16.08.2025
Kabar;Abwehr;Borussia Dortmund;7;330.000;330.000;1,4;Halten;Durchschnittlich;0;Computer;16.08.2025
Hefti;Abwehr;Hamburger SV;0;200.000;200.000;0,0;Halten;Schlecht;0;Computer;16.08.2025
Robatsch;Abwehr;FC St. Pauli;0;270.000;270.000;0,0;Halten;Schlecht;0;Computer;16.08.2025
Doumbia;Abwehr;Eintracht Frankfurt;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;16.08.2025
Poku;Mittelfeld;Bayer 04 Leverkusen;0;6.060.000;6.490.000;0,0;;Schlecht;1;Computer;16.08.2025
Höfler;Mittelfeld;Sport-Club Freiburg;42;710.000;710.000;2,5;Halten;Gut;0;Computer;17.08.2025
Süle;Abwehr;Borussia Dortmund;43;2.100.000;2.110.000;2,9;Halten;Gut;0;Computer;17.08.2025
Pedersen;Abwehr;FC Augsburg;3;210.000;210.000;0,6;Halten;Schlecht;0;Computer;17.08.2025
Palacios;Mittelfeld;Bayer 04 Leverkusen;95;4.640.000;4.610.000;4,5;Halten;Gut;1;Computer;17.08.2025
Drljača;Torhüter;VfB Stuttgart;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;17.08.2025
Leweling;Mittelfeld;VfB Stuttgart;98;5.310.000;5.240.000;3,6;Halten;Gut;1;Computer;17.08.2025
Widmer;Abwehr;1. FSV Mainz 05;37;420.000;420.000;1,9;Halten;Gut;0;Computer;17.08.2025
Majer;Mittelfeld;VfL Wolfsburg;42;4.840.000;4.890.000;4,7;Halten;Gut;1;Computer;17.08.2025
Finkgräfe;Abwehr;RB Leipzig;0;920.000;910.000;2,6;Halten;Gut;0;Computer;17.08.2025
Gendrey;Abwehr;TSG Hoffenheim;75;440.000;440.000;3,4;Halten;Gut;0;Computer;17.08.2025
Kabar;Abwehr;Borussia Dortmund;7;400.000;400.000;1,4;Halten;Durchschnittlich;0;Computer;17.08.2025
T. Philipp;Torhüter;TSG Hoffenheim;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;17.08.2025
Hefti;Abwehr;Hamburger SV;0;200.000;200.000;0,0;Halten;Schlecht;0;Computer;17.08.2025
Robatsch;Abwehr;FC St. Pauli;0;260.000;260.000;0,0;Halten;Schlecht;0;Computer;17.08.2025
Doumbia;Abwehr;Eintracht Frankfurt;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;17.08.2025
Kampl;Mittelfeld;RB Leipzig;82;1.060.000;1.070.000;3,3;Halten;Gut;0;Computer;18.08.2025
Rexhbecaj;Mittelfeld;FC Augsburg;80;1.500.000;1.500.000;3,0;Halten;Gut;0;Computer;18.08.2025
Palacios;Mittelfeld;Bayer 04 Leverkusen;95;4.730.000;4.680.000;4,5;Halten;Gut;1;Computer;18.08.2025
Leweling;Mittelfeld;VfB Stuttgart;98;5.800.000;5.760.000;3,6;Halten;Durchschnittlich;1;Computer;18.08.2025
Adli;Stürmer;Bayer 04 Leverkusen;69;3.190.000;3.220.000;3,5;Halten;Gut;0;Computer;18.08.2025
Král;Mittelfeld;1.FC Union Berlin;0;740.000;740.000;1,3;Halten;Durchschnittlich;0;Computer;18.08.2025
Openda;Stürmer;RB Leipzig;157;11.250.000;11.160.000;4,8;Halten;Durchschnittlich;2;Computer;18.08.2025
Finkgräfe;Abwehr;RB Leipzig;0;990.000;960.000;2,6;Halten;Gut;0;Computer;18.08.2025
Kerber;Mittelfeld;1.FC Heidenheim;50;570.000;580.000;2,3;Halten;Gut;0;Computer;18.08.2025
Angély;Abwehr;VfL Wolfsburg;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;18.08.2025
T. Philipp;Torhüter;TSG Hoffenheim;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;18.08.2025
Hefti;Abwehr;Hamburger SV;0;200.000;200.000;0,0;Halten;Schlecht;0;Computer;18.08.2025
Baldé;Stürmer;Hamburger SV;0;340.000;340.000;0,0;Halten;Schlecht;0;Computer;18.08.2025
Doumbia;Abwehr;Eintracht Frankfurt;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;18.08.2025
Hountondji;Stürmer;FC St. Pauli;0;2.570.000;2.610.000;0,0;Halten;Schlecht;0;Computer;18.08.2025
Kampl;Mittelfeld;RB Leipzig;82;980.000;1.000.000;3,3;Halten;Gut;0;Computer;19.08.2025
Kohr;Abwehr;1. FSV Mainz 05;124;3.770.000;3.820.000;4,4;Halten;Gut;0;Computer;19.08.2025
Rexhbeçaj;Mittelfeld;FC Augsburg;80;1.390.000;1.430.000;3,0;Halten;Gut;0;Computer;19.08.2025
Wimmer;Stürmer;VfL Wolfsburg;108;4.590.000;4.600.000;3,7;Halten;Gut;0;Computer;19.08.2025
Adli;Stürmer;Bayer 04 Leverkusen;69;3.390.000;3.460.000;3,5;Halten;Gut;0;Computer;19.08.2025
Buta;Abwehr;Eintracht Frankfurt;0;650.000;640.000;2,0;Halten;Gut;0;Computer;19.08.2025
Král;Mittelfeld;1.FC Union Berlin;0;750.000;750.000;1,3;Halten;Durchschnittlich;0;Computer;19.08.2025
Openda;Stürmer;RB Leipzig;157;10.370.000;10.270.000;4,8;Halten;Durchschnittlich;2;Computer;19.08.2025
Kerber;Mittelfeld;1.FC Heidenheim;50;570.000;590.000;2,3;Halten;Gut;0;Computer;19.08.2025
Amoura;Stürmer;VfL Wolfsburg;166;7.890.000;7.840.000;5,4;Halten;Gut;1;Computer;19.08.2025
Angély;Abwehr;VfL Wolfsburg;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;19.08.2025
T. Philipp;Torhüter;TSG Hoffenheim;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;19.08.2025
Dong;Stürmer;FC Augsburg;0;290.000;290.000;0,0;Halten;Schlecht;0;Computer;19.08.2025
Baldé;Stürmer;Hamburger SV;0;340.000;340.000;0,0;Halten;Schlecht;0;Computer;19.08.2025
Hountondji;Stürmer;FC St. Pauli;0;2.630.000;2.670.000;0,0;Halten;Schlecht;0;Computer;19.08.2025
Kampl;Mittelfeld;RB Leipzig;0;940.000;940.000;3,3;Halten;Gut;0;Computer;20.08.2025
Kohr;Abwehr;1. FSV Mainz 05;0;3.710.000;3.740.000;4,4;Halten;Gut;0;Computer;20.08.2025
Geiger;Mittelfeld;TSG Hoffenheim;0;360.000;360.000;1,8;Halten;Gut;0;Computer;20.08.2025
Rexhbeçaj;Mittelfeld;FC Augsburg;0;1.330.000;1.320.000;3,0;Halten;Gut;0;Computer;20.08.2025
Wimmer;Stürmer;VfL Wolfsburg;0;4.610.000;4.670.000;3,7;Halten;Gut;0;Computer;20.08.2025
Buta;Abwehr;Eintracht Frankfurt;0;650.000;640.000;2,0;Halten;Gut;0;Computer;20.08.2025
Duranville;Stürmer;Borussia Dortmund;0;700.000;700.000;1,3;Halten;Durchschnittlich;0;Computer;20.08.2025
Openda;Stürmer;RB Leipzig;0;10.640.000;10.500.000;4,8;Halten;Durchschnittlich;2;Computer;20.08.2025
Sander;Mittelfeld;Borussia Mönchengladbach;0;2.540.000;2.570.000;2,7;Halten;Gut;0;Computer;20.08.2025
Labrović;Torhüter;FC Augsburg;0;270.000;270.000;2,8;Halten;Gut;0;Computer;20.08.2025
Amoura;Stürmer;VfL Wolfsburg;0;7.830.000;7.760.000;5,4;Halten;Gut;1;Computer;20.08.2025
Angély;Abwehr;VfL Wolfsburg;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;20.08.2025
Königsdörffer;Stürmer;Hamburger SV;0;3.760.000;3.780.000;0,0;Halten;Schlecht;0;Computer;20.08.2025
Dong;Stürmer;FC Augsburg;0;290.000;290.000;0,0;Halten;Schlecht;0;Computer;20.08.2025
Baldé;Stürmer;Hamburger SV;0;410.000;410.000;0,0;Halten;Schlecht;0;Computer;20.08.2025
Friedrich;Abwehr;Borussia Mönchengladbach;0;530.000;510.000;2,9;Halten;Gut;0;Computer;21.08.2025
Geiger;Mittelfeld;TSG Hoffenheim;0;350.000;350.000;1,8;Halten;Gut;0;Computer;21.08.2025
Kilian;Abwehr;1. FC Köln;0;180.000;180.000;0,9;Halten;Durchschnittlich;0;Computer;21.08.2025
Buta;Abwehr;Eintracht Frankfurt;0;640.000;630.000;2,0;Halten;Gut;0;Computer;21.08.2025
Huseinbašić;Mittelfeld;1. FC Köln;0;480.000;480.000;1,6;Halten;Durchschnittlich;0;Computer;21.08.2025
Duranville;Stürmer;Borussia Dortmund;0;700.000;700.000;1,3;Halten;Durchschnittlich;0;Computer;21.08.2025
Kaufmann;Stürmer;1.FC Heidenheim;0;710.000;720.000;2,9;Halten;Gut;0;Computer;21.08.2025
Metcalfe;Mittelfeld;FC St. Pauli;0;480.000;480.000;1,6;Halten;Durchschnittlich;0;Computer;21.08.2025
Sander;Mittelfeld;Borussia Mönchengladbach;0;2.590.000;2.630.000;2,7;Halten;Gut;0;Computer;21.08.2025
Labrović;Torhüter;FC Augsburg;0;260.000;260.000;2,8;Halten;Gut;0;Computer;21.08.2025
Amoura;Stürmer;VfL Wolfsburg;0;7.740.000;7.680.000;5,4;Halten;Gut;1;Computer;21.08.2025
Højlund;Mittelfeld;Eintracht Frankfurt;0;1.190.000;1.200.000;2,4;Halten;Gut;0;Computer;21.08.2025
Yalçınkaya;Mittelfeld;Hamburger SV;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;21.08.2025
Königsdörffer;Stürmer;Hamburger SV;0;3.950.000;4.000.000;0,0;Halten;Schlecht;0;Computer;21.08.2025
Darvich;Mittelfeld;VfB Stuttgart;0;2.650.000;2.640.000;0,0;Halten;Schlecht;0;Computer;21.08.2025
Friedrich;Abwehr;Borussia Mönchengladbach;0;560.000;550.000;2,9;Halten;Gut;0;Computer;22.08.2025
Özcan;Mittelfeld;Borussia Dortmund;0;870.000;870.000;2,4;Halten;Gut;5;Computer;22.08.2025
Geiger;Mittelfeld;TSG Hoffenheim;0;360.000;360.000;1,8;Halten;Gut;5;Computer;22.08.2025
Kilian;Abwehr;1. FC Köln;0;190.000;190.000;0,9;Halten;Durchschnittlich;0;Computer;22.08.2025
Thielmann;Stürmer;1. FC Köln;0;2.450.000;2.440.000;2,6;Halten;Gut;0;Computer;22.08.2025
Huseinbašić;Mittelfeld;1. FC Köln;0;470.000;470.000;1,6;Halten;Durchschnittlich;4;Computer;22.08.2025
Duranville;Stürmer;Borussia Dortmund;0;660.000;660.000;1,3;Halten;Durchschnittlich;0;Computer;22.08.2025
Kaufmann;Stürmer;1.FC Heidenheim;0;760.000;760.000;2,9;Halten;Gut;1;Computer;22.08.2025
Xavi Simons;Mittelfeld;RB Leipzig;0;7.950.000;8.060.000;7,6;Halten;Gut;2;Computer;22.08.2025
Metcalfe;Mittelfeld;FC St. Pauli;0;470.000;470.000;1,6;Halten;Durchschnittlich;4;Computer;22.08.2025
Labrović;Torhüter;FC Augsburg;0;260.000;260.000;2,8;Halten;Gut;1;Computer;22.08.2025
Højlund;Mittelfeld;Eintracht Frankfurt;0;1.210.000;1.230.000;2,4;Halten;Gut;2;Computer;22.08.2025
Yalçınkaya;Mittelfeld;Hamburger SV;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;22.08.2025
Darvich;Mittelfeld;VfB Stuttgart;0;2.500.000;2.470.000;0,0;Halten;Schlecht;0;Computer;22.08.2025
Luis Díaz;Stürmer;FC Bayern München;0;18.190.000;18.000.000;0,0;Halten;Schlecht;2;Computer;22.08.2025
Blaswich;Torhüter;Bayer 04 Leverkusen;0;680.000;680.000;2,7;Halten;;0;Computer;23.08.2025
Özcan;Mittelfeld;Borussia Dortmund;0;850.000;860.000;2,4;Halten;;0;Computer;23.08.2025
Hack;Stürmer;Borussia Mönchengladbach;0;6.510.000;6.410.000;3,8;Halten;;1;Computer;23.08.2025
Thielmann;Stürmer;1. FC Köln;0;2.500.000;2.530.000;2,6;Halten;;0;Computer;23.08.2025
Jakić;Mittelfeld;FC Augsburg;0;2.610.000;2.610.000;3,0;Halten;;0;Computer;23.08.2025
Huseinbašić;Mittelfeld;1. FC Köln;0;450.000;450.000;1,6;Halten;;0;Computer;23.08.2025
Openda;Stürmer;RB Leipzig;0;9.850.000;9.470.000;0,0;Halten;;2;Computer;23.08.2025
Xavi Simons;Mittelfeld;RB Leipzig;0;7.800.000;7.480.000;0,0;Halten;;2;Computer;23.08.2025
Metcalfe;Mittelfeld;FC St. Pauli;0;440.000;440.000;1,6;Halten;;0;Computer;23.08.2025
Odogu;Abwehr;VfL Wolfsburg;0;440.000;440.000;4,0;Halten;;0;Computer;23.08.2025
Đurić;Mittelfeld;TSG Hoffenheim;0;250.000;250.000;0,0;Halten;;0;Computer;23.08.2025
Yalçınkaya;Mittelfeld;Hamburger SV;0;180.000;180.000;0,0;Halten;;0;Computer;23.08.2025
Zieliński;Torhüter;VfL Wolfsburg;0;160.000;160.000;0,0;Halten;;0;Computer;23.08.2025
Darvich;Mittelfeld;VfB Stuttgart;0;2.460.000;2.460.000;0,0;Halten;;0;Computer;23.08.2025
Luis Díaz;Stürmer;FC Bayern München;0;19.140.000;20.010.000;0,0;Halten;;2;Computer;23.08.2025
Blaswich;Torhüter;Bayer 04 Leverkusen;0;650.000;600.000;2,7;Halten;;0;Computer;24.08.2025
Kobel;Torhüter;Borussia Dortmund;0;2.980.000;3.060.000;0,0;Halten;;2;Computer;24.08.2025
Gnabry;Stürmer;FC Bayern München;0;9.840.000;10.580.000;0,0;Kaufen;;2;Computer;24.08.2025
Hack;Stürmer;Borussia Mönchengladbach;0;6.510.000;6.420.000;3,8;Halten;;1;Computer;24.08.2025
Köbbing;Torhüter;1. FC Köln;0;160.000;160.000;0,0;Halten;;0;Computer;24.08.2025
Jakić;Mittelfeld;FC Augsburg;0;2.820.000;3.150.000;0,0;Kaufen;;2;Computer;24.08.2025
Openda;Stürmer;RB Leipzig;0;9.780.000;9.240.000;0,0;Halten;;1;Computer;24.08.2025
Xavi Simons;Mittelfeld;RB Leipzig;0;8.390.000;8.330.000;0,0;Halten;;2;Computer;24.08.2025
T. Drexler;Abwehr;TSG Hoffenheim;0;380.000;370.000;1,0;Halten;;0;Computer;24.08.2025
Conteh;Stürmer;1.FC Heidenheim;0;1.170.000;1.110.000;2,0;Halten;;0;Computer;24.08.2025
Odogu;Abwehr;VfL Wolfsburg;0;420.000;410.000;4,0;Halten;;0;Computer;24.08.2025
Đurić;Mittelfeld;TSG Hoffenheim;0;260.000;270.000;0,0;Halten;;0;Computer;24.08.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;0;180.000;190.000;0,0;Halten;;0;Computer;24.08.2025
Zieliński;Torhüter;VfL Wolfsburg;0;160.000;180.000;0,0;Halten;;0;Computer;24.08.2025
Ramšak;Stürmer;RB Leipzig;0;170.000;190.000;0,0;Kaufen;;0;Computer;24.08.2025
Blaswich;Torhüter;Bayer 04 Leverkusen;0;590.000;550.000;2,7;Halten;Gut;0;Computer;25.08.2025
Sabitzer;Mittelfeld;Borussia Dortmund;4;4.810.000;4.910.000;4,0;Halten;Gut;1;Computer;25.08.2025
Kobel;Torhüter;Borussia Dortmund;3;2.960.000;3.030.000;3,0;Halten;Durchschnittlich;2;Computer;25.08.2025
Gnabry;Stürmer;FC Bayern München;9;10.030.000;10.220.000;9,0;Halten;Gut;1;Computer;25.08.2025
Demirović;Stürmer;VfB Stuttgart;2;5.420.000;5.370.000;2,0;Halten;Schlecht;0;Computer;25.08.2025
Köbbing;Torhüter;1. FC Köln;0;160.000;170.000;0,0;Halten;Schlecht;0;Computer;25.08.2025
Openda;Stürmer;RB Leipzig;2;9.510.000;9.300.000;2,0;Halten;Schlecht;1;Computer;25.08.2025
Kim;Abwehr;FC Bayern München;4;3.970.000;4.050.000;4,0;Halten;Durchschnittlich;0;Computer;25.08.2025
T. Drexler;Abwehr;TSG Hoffenheim;0;360.000;360.000;1,0;Halten;Schlecht;0;Computer;25.08.2025
Conteh;Stürmer;1.FC Heidenheim;0;1.130.000;1.100.000;2,0;Halten;Schlecht;0;Computer;25.08.2025
Odogu;Abwehr;VfL Wolfsburg;0;420.000;440.000;4,0;Halten;Gut;0;Computer;25.08.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;0;170.000;180.000;0,0;Halten;Schlecht;0;Computer;25.08.2025
Telle;Abwehr;1. FC Köln;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;25.08.2025
Zieliński;Torhüter;VfL Wolfsburg;0;160.000;170.000;0,0;Halten;Schlecht;0;Computer;25.08.2025
Ramšak;Stürmer;RB Leipzig;0;160.000;180.000;0,0;Kaufen;Schlecht;0;Computer;25.08.2025
Friedrich;Abwehr;Borussia Mönchengladbach;0;500.000;510.000;2,9;Halten;Gut;0;Computer;26.08.2025
Sabitzer;Mittelfeld;Borussia Dortmund;4;4.940.000;4.950.000;4,0;Halten;Gut;1;Computer;26.08.2025
Maier;Mittelfeld;FC Augsburg;0;620.000;640.000;2,1;Halten;Durchschnittlich;0;Computer;26.08.2025
Scally;Abwehr;Borussia Mönchengladbach;6;2.410.000;2.610.000;6,0;Kaufen;Gut;2;Computer;26.08.2025
Demirović;Stürmer;VfB Stuttgart;2;5.660.000;5.720.000;2,0;Halten;Schlecht;0;Computer;26.08.2025
Weißhaupt;Mittelfeld;Sport-Club Freiburg;0;1.480.000;1.560.000;3,3;Halten;Gut;0;Computer;26.08.2025
Köbbing;Torhüter;1. FC Köln;0;160.000;160.000;0,0;Halten;Gut;0;Computer;26.08.2025
Kim;Abwehr;FC Bayern München;4;4.110.000;4.100.000;4,0;Halten;Durchschnittlich;0;Computer;26.08.2025
T. Drexler;Abwehr;TSG Hoffenheim;0;350.000;350.000;1,0;Halten;Schlecht;0;Computer;26.08.2025
N. Banks;Abwehr;FC Augsburg;0;890.000;930.000;2,1;Halten;Gut;0;Computer;26.08.2025
Claude-Maurice;Mittelfeld;FC Augsburg;0;4.880.000;4.600.000;5,5;Halten;Gut;1;Computer;26.08.2025
Jäger;Torhüter;FC Augsburg;0;160.000;160.000;0,0;Halten;Gut;0;Computer;26.08.2025
Telle;Abwehr;1. FC Köln;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;26.08.2025
Castrop;Mittelfeld;Borussia Mönchengladbach;2;1.270.000;1.260.000;2,0;Halten;Durchschnittlich;0;Computer;26.08.2025
Bogdanov;Stürmer;1.FC Union Berlin;0;360.000;360.000;0,0;Halten;Schlecht;0;Computer;26.08.2025
Friedrich;Abwehr;Borussia Mönchengladbach;0;480.000;480.000;2,9;Halten;Gut;0;Computer;27.08.2025
Maier;Mittelfeld;FC Augsburg;0;640.000;620.000;2,1;Halten;Durchschnittlich;0;Computer;27.08.2025
Dahmen;Torhüter;FC Augsburg;3;2.890.000;2.910.000;3,0;Halten;Durchschnittlich;2;Computer;27.08.2025
Neuhaus;Mittelfeld;Borussia Mönchengladbach;3;1.560.000;1.570.000;3,0;Halten;Gut;0;Computer;27.08.2025
Scally;Abwehr;Borussia Mönchengladbach;6;2.560.000;2.770.000;6,0;Kaufen;Gut;2;Computer;27.08.2025
Weißhaupt;Mittelfeld;Sport-Club Freiburg;0;1.380.000;1.390.000;3,3;Halten;Gut;0;Computer;27.08.2025
Arthur;Abwehr;Bayer 04 Leverkusen;3;2.930.000;3.090.000;3,0;Halten;Durchschnittlich;0;Computer;27.08.2025
Saliakas;Abwehr;FC St. Pauli;4;2.250.000;2.350.000;4,0;Halten;Gut;0;Computer;27.08.2025
N. Banks;Abwehr;FC Augsburg;0;910.000;900.000;2,1;Halten;Gut;0;Computer;27.08.2025
Vermeeren;Mittelfeld;RB Leipzig;0;1.290.000;1.260.000;2,0;Halten;Durchschnittlich;0;Computer;27.08.2025
Claude-Maurice;Mittelfeld;FC Augsburg;0;4.850.000;4.770.000;5,5;Halten;Gut;1;Computer;27.08.2025
Jäger;Torhüter;FC Augsburg;0;160.000;170.000;0,0;Halten;Gut;0;Computer;27.08.2025
Castrop;Mittelfeld;Borussia Mönchengladbach;2;1.290.000;1.290.000;2,0;Halten;Durchschnittlich;0;Computer;27.08.2025
Bogdanov;Stürmer;1.FC Union Berlin;0;340.000;370.000;0,0;Halten;Schlecht;0;Computer;27.08.2025
Hajdari;Abwehr;TSG Hoffenheim;0;4.210.000;4.810.000;0,0;;Schlecht;0;Computer;27.08.2025
Friedrich;Abwehr;Borussia Mönchengladbach;0;470.000;470.000;2,9;Halten;Gut;0;Computer;28.08.2025
Dahmen;Torhüter;FC Augsburg;3;2.910.000;2.910.000;3,0;Halten;Durchschnittlich;2;Computer;28.08.2025
Neuhaus;Mittelfeld;Borussia Mönchengladbach;3;1.640.000;1.660.000;3,0;Halten;Gut;0;Computer;28.08.2025
Tauer;Abwehr;1. FSV Mainz 05;0;230.000;230.000;0,7;Halten;Schlecht;0;Computer;28.08.2025
Weißhaupt;Mittelfeld;Sport-Club Freiburg;0;1.370.000;1.340.000;3,3;Halten;Gut;0;Computer;28.08.2025
Weiper;Stürmer;1. FSV Mainz 05;3;5.460.000;5.480.000;3,0;Halten;Schlecht;0;Computer;28.08.2025
Arthur;Abwehr;Bayer 04 Leverkusen;3;2.910.000;2.990.000;3,0;Halten;Durchschnittlich;0;Computer;28.08.2025
Saliakas;Abwehr;FC St. Pauli;4;2.400.000;2.400.000;4,0;Halten;Gut;0;Computer;28.08.2025
N. Banks;Abwehr;FC Augsburg;0;910.000;890.000;2,1;Halten;Gut;0;Computer;28.08.2025
Vermeeren;Mittelfeld;RB Leipzig;0;1.200.000;1.200.000;2,0;Halten;Durchschnittlich;0;Computer;28.08.2025
Claude-Maurice;Mittelfeld;FC Augsburg;0;4.760.000;4.710.000;5,5;Halten;Gut;1;Computer;28.08.2025
Kusi-Asare;Stürmer;FC Bayern München;0;1.700.000;1.720.000;0,0;Halten;Schlecht;0;Computer;28.08.2025
Jäger;Torhüter;FC Augsburg;0;160.000;160.000;0,0;Halten;Gut;0;Computer;28.08.2025
Bogdanov;Stürmer;1.FC Union Berlin;0;420.000;440.000;0,0;Halten;Schlecht;0;Computer;28.08.2025
Hajdari;Abwehr;TSG Hoffenheim;0;4.230.000;4.810.000;0,0;;Schlecht;0;Computer;28.08.2025
