Spieler;Link;Datum;Spielerpool
Dahmen;https://www.comunio.de/bundesliga/players/Dahmen-32877;14.04.2026;538.0
Dahoud;https://www.comunio.de/bundesliga/players/Dahoud-32208;14.04.2026;538.0
Dal;https://www.comunio.de/bundesliga/players/Dal-34052;14.04.2026;538.0
Damar;https://www.comunio.de/bundesliga/players/Damar-33673;14.04.2026;538.0
Darvich;https://www.comunio.de/bundesliga/players/Darvich-34215;14.04.2026;538.0
Davies;https://www.comunio.de/bundesliga/players/Davies-33021;14.04.2026;538.0
Deman;https://www.comunio.de/bundesliga/players/Deman-33858;14.04.2026;538.0
Demirović;https://www.comunio.de/bundesliga/players/Demirovi%C4%87-33311;14.04.2026;538.0
Dickes;https://www.comunio.de/bundesliga/players/Dickes-34094;14.04.2026;538.0
Diehl;https://www.comunio.de/bundesliga/players/Diehl-33718;14.04.2026;538.0
Diks;https://www.comunio.de/bundesliga/players/Diks-34187;14.04.2026;538.0
Dinkçi;https://www.comunio.de/bundesliga/players/Dink%C3%A7i-33364;14.04.2026;538.0
Diogo Leite;https://www.comunio.de/bundesliga/players/Diogo%20Leite-33659;14.04.2026;538.0
Diomande;https://www.comunio.de/bundesliga/players/Diomande-34237;14.04.2026;538.0
Doan;https://www.comunio.de/bundesliga/players/Doan-33335;14.04.2026;538.0
Doekhi;https://www.comunio.de/bundesliga/players/Doekhi-33609;14.04.2026;538.0
Dompé;https://www.comunio.de/bundesliga/players/Domp%C3%A9-34155;14.04.2026;538.0
Dorsch;https://www.comunio.de/bundesliga/players/Dorsch-32603;14.04.2026;538.0
Doumbia;https://www.comunio.de/bundesliga/players/Doumbia-34218;14.04.2026;538.0
Downs;https://www.comunio.de/bundesliga/players/Downs-33746;14.04.2026;538.0
Drewes;https://www.comunio.de/bundesliga/players/Drewes-31988;14.04.2026;538.0
Drljača;https://www.comunio.de/bundesliga/players/Drlja%C4%8Da-33342;14.04.2026;538.0
Đurić;https://www.comunio.de/bundesliga/players/%C4%90uri%C4%87-34107;14.04.2026;538.0
Dźwigała;https://www.comunio.de/bundesliga/players/D%C5%BAwiga%C5%82a-33946;14.04.2026;538.0
Ebnoutalib;https://www.comunio.de/bundesliga/players/Ebnoutalib-34316;14.04.2026;538.0
Eduardo;https://www.comunio.de/bundesliga/players/Eduardo-33889;14.04.2026;538.0
El Khannouss;https://www.comunio.de/bundesliga/players/El%20Khannouss-34288;14.04.2026;538.0
Elfadli;https://www.comunio.de/bundesliga/players/Elfadli-34146;14.04.2026;538.0
Elvedi;https://www.comunio.de/bundesliga/players/Elvedi-32472;14.04.2026;538.0
Engelns;https://www.comunio.de/bundesliga/players/Engelns-34340;14.04.2026;538.0
Eriksen;https://www.comunio.de/bundesliga/players/Eriksen-34299;14.04.2026;538.0
Erlein;https://www.comunio.de/bundesliga/players/Erlein-34105;14.04.2026;538.0
F. Müller;https://www.comunio.de/bundesliga/players/F.%20M%C3%BCller-32656;14.04.2026;538.0
F. Nmecha;https://www.comunio.de/bundesliga/players/F.%20Nmecha-33498;14.04.2026;538.0
Fábio Silva;https://www.comunio.de/bundesliga/players/F%C3%A1bio%20Silva-34283;14.04.2026;538.0
Fábio Vieira;https://www.comunio.de/bundesliga/players/F%C3%A1bio%20Vieira-34296;14.04.2026;538.0
Feller;https://www.comunio.de/bundesliga/players/Feller-33271;14.04.2026;538.0
Fellhauer;https://www.comunio.de/bundesliga/players/Fellhauer-34171;14.04.2026;538.0
Fernández;https://www.comunio.de/bundesliga/players/Fern%C3%A1ndez-34289;14.04.2026;538.0
Fields;https://www.comunio.de/bundesliga/players/Fields-34336;14.04.2026;538.0
Finkgräfe;https://www.comunio.de/bundesliga/players/Finkgr%C3%A4fe-33848;14.04.2026;538.0
Fischer;https://www.comunio.de/bundesliga/players/Fischer-33625;14.04.2026;538.0
Flekken;https://www.comunio.de/bundesliga/players/Flekken-32925;14.04.2026;538.0
Föhrenbach;https://www.comunio.de/bundesliga/players/F%C3%B6hrenbach-32596;14.04.2026;538.0
Frees;https://www.comunio.de/bundesliga/players/Frees-34269;14.04.2026;538.0
Friedl;https://www.comunio.de/bundesliga/players/Friedl-32754;14.04.2026;538.0
Friedrich;https://www.comunio.de/bundesliga/players/Friedrich-32311;14.04.2026;538.0
Führich;https://www.comunio.de/bundesliga/players/F%C3%BChrich-32858;14.04.2026;538.0
Fujita;https://www.comunio.de/bundesliga/players/Fujita-34211;14.04.2026;538.0
García;https://www.comunio.de/bundesliga/players/Garc%C3%ADa-33992;14.04.2026;538.0
Gazdov;https://www.comunio.de/bundesliga/players/Gazdov-34322;14.04.2026;538.0
Gebel;https://www.comunio.de/bundesliga/players/Gebel-34042;14.04.2026;538.0
Gendrey;https://www.comunio.de/bundesliga/players/Gendrey-34051;14.04.2026;538.0
Gerhardt;https://www.comunio.de/bundesliga/players/Gerhardt-32280;14.04.2026;538.0
Gharbi;https://www.comunio.de/bundesliga/players/Gharbi-34292;14.04.2026;538.0
Giannoulis;https://www.comunio.de/bundesliga/players/Giannoulis-34027;14.04.2026;538.0
Gimber;https://www.comunio.de/bundesliga/players/Gimber-32457;14.04.2026;538.0
Ginter;https://www.comunio.de/bundesliga/players/Ginter-31910;14.04.2026;538.0
Glatzel;https://www.comunio.de/bundesliga/players/Glatzel-33375;14.04.2026;538.0
Gleiber;https://www.comunio.de/bundesliga/players/Gleiber-34082;14.04.2026;538.0
Gnabry;https://www.comunio.de/bundesliga/players/Gnabry-32696;14.04.2026;538.0
Gocholeishvili;https://www.comunio.de/bundesliga/players/Gocholeishvili-34259;14.04.2026;538.0
Gomis;https://www.comunio.de/bundesliga/players/Gomis-34116;14.04.2026;538.0
Goretzka;https://www.comunio.de/bundesliga/players/Goretzka-32187;14.04.2026;538.0
