Manager;Teamwert;Gesamtpunkte;letzte Punkte;Datum
Nico;48650000;0;0;19.08.2025
Pascal;44600000;0;0;19.08.2025
Christian;38600000;0;0;19.08.2025
Thomas;66200000;0;0;20.08.2025
Alfons;55730000;0;0;20.08.2025
Dominik;53200000;0;0;20.08.2025
Nico;52970000;0;0;20.08.2025
Andreas;51240000;0;0;20.08.2025
Christoph;49590000;0;0;20.08.2025
Pascal;44410000;0;0;20.08.2025
Christian;39190000;0;0;20.08.2025
Alfons;58260000;0;0;21.08.2025
Thomas;57710000;0;0;21.08.2025
Andreas;51330000;0;0;21.08.2025
Christoph;50250000;0;0;21.08.2025
Nico;47860000;0;0;21.08.2025
Dominik;47140000;0;0;21.08.2025
Pascal;44400000;0;0;21.08.2025
Christian;39170000;0;0;21.08.2025
Thomas;58410000;0;0;22.08.2025
Andreas;51010000;0;0;22.08.2025
Alfons;51010000;0;0;22.08.2025
Christoph;50860000;0;0;22.08.2025
Dominik;47340000;0;0;22.08.2025
Nico;46240000;0;0;22.08.2025
Pascal;43800000;0;0;22.08.2025
Christian;39250000;0;0;22.08.2025
Thomas;60090000;0;0;23.08.2025
Alfons;53430000;0;0;23.08.2025
Christoph;51040000;0;0;23.08.2025
Andreas;50670000;0;0;23.08.2025
Nico;47520000;0;0;23.08.2025
Pascal;43170000;0;0;23.08.2025
Dominik;39290000;0;0;23.08.2025
Christian;38670000;0;0;23.08.2025
Andreas;51330000;58;58;24.08.2025
Thomas;53890000;48;48;24.08.2025
Nico;49100000;48;48;24.08.2025
Dominik;59570000;47;47;24.08.2025
Christoph;50420000;34;34;24.08.2025
Christian;38910000;32;32;24.08.2025
Alfons;51270000;27;27;24.08.2025
Pascal;42430000;18;18;24.08.2025
Andreas;51030000;58;58;25.08.2025
Thomas;54200000;48;48;25.08.2025
Nico;54190000;48;48;25.08.2025
Dominik;53520000;47;47;25.08.2025
Christoph;50160000;34;34;25.08.2025
Christian;37910000;32;32;25.08.2025
Alfons;54240000;27;27;25.08.2025
Pascal;41940000;18;18;25.08.2025
Andreas;52110000;58;58;26.08.2025
Thomas;56100000;48;48;26.08.2025
Nico;55580000;48;48;26.08.2025
Dominik;59310000;47;47;26.08.2025
Christoph;51250000;34;34;26.08.2025
Christian;40150000;32;32;26.08.2025
Alfons;64900000;27;27;26.08.2025
Pascal;42640000;18;18;26.08.2025
Andreas;52680000;58;58;27.08.2025
Thomas;71440000;48;48;27.08.2025
Nico;57140000;48;48;27.08.2025
Dominik;56780000;47;47;27.08.2025
Christoph;51420000;34;34;27.08.2025
Christian;40340000;32;32;27.08.2025
Alfons;65920000;27;27;27.08.2025
Pascal;42680000;18;18;27.08.2025
Andreas;53300000;58;58;28.08.2025
Thomas;75450000;48;48;28.08.2025
Nico;58010000;48;48;28.08.2025
Dominik;55490000;47;47;28.08.2025
Christoph;50010000;34;34;28.08.2025
Christian;39770000;32;32;28.08.2025
Alfons;67830000;27;27;28.08.2025
Pascal;43030000;18;18;28.08.2025
Andreas;48340000;58;58;29.08.2025
Thomas;64910000;48;48;29.08.2025
Nico;52550000;48;48;29.08.2025
Dominik;28990000;47;47;29.08.2025
Christoph;51640000;34;34;29.08.2025
Christian;40060000;32;32;29.08.2025
Alfons;54910000;27;27;29.08.2025
Pascal;42610000;18;18;29.08.2025
Andreas;49050000;58;58;30.08.2025
Thomas;68330000;48;48;30.08.2025
Nico;53030000;48;48;30.08.2025
Dominik;35970000;47;47;30.08.2025
Christoph;52890000;34;34;30.08.2025
Christian;40650000;32;32;30.08.2025
Alfons;60410000;27;27;30.08.2025
Pascal;42690000;18;18;30.08.2025
Andreas;54360000;58;58;31.08.2025
Thomas;69170000;48;48;31.08.2025
Nico;53850000;48;48;31.08.2025
Dominik;42660000;47;47;31.08.2025
Christoph;57140000;34;34;31.08.2025
Christian;41060000;32;32;31.08.2025
Alfons;69000000;27;27;31.08.2025
Pascal;43130000;18;18;31.08.2025
Thomas;76020000;96;48;01.09.2025
Christoph;51520000;92;58;01.09.2025
Andreas;55320000;91;33;01.09.2025
Dominik;45050000;90;43;01.09.2025
Nico;53960000;76;28;01.09.2025
Alfons;63490000;70;43;01.09.2025
Christian;41120000;58;26;01.09.2025
Pascal;43020000;45;27;01.09.2025
Thomas;84860000;96;48;02.09.2025
Christoph;51810000;92;58;02.09.2025
Andreas;53200000;91;33;02.09.2025
Dominik;47120000;90;43;02.09.2025
Nico;47260000;76;28;02.09.2025
Alfons;60780000;70;43;02.09.2025
Christian;40960000;58;26;02.09.2025
Pascal;44160000;45;27;02.09.2025
Thomas;75580000;96;48;03.09.2025
Christoph;52100000;92;58;03.09.2025
Andreas;53670000;91;33;03.09.2025
Dominik;52730000;90;43;03.09.2025
Nico;47380000;76;28;03.09.2025
Alfons;60890000;70;43;03.09.2025
Christian;40550000;58;26;03.09.2025
Pascal;44140000;45;27;03.09.2025
Thomas;81200000;96;48;04.09.2025
Christoph;51960000;92;58;04.09.2025
Andreas;52510000;91;33;04.09.2025
Dominik;52800000;90;43;04.09.2025
Nico;52430000;76;28;04.09.2025
Alfons;64980000;70;43;04.09.2025
Christian;39470000;58;26;04.09.2025
Pascal;43360000;45;27;04.09.2025
Thomas;84480000;96;48;05.09.2025
Christoph;53880000;92;58;05.09.2025
Andreas;52570000;91;33;05.09.2025
Dominik;63960000;90;43;05.09.2025
Nico;52670000;76;28;05.09.2025
Alfons;67810000;70;43;05.09.2025
Christian;34060000;58;26;05.09.2025
Pascal;44480000;45;27;05.09.2025
Thomas;86960000;96;48;06.09.2025
Christoph;57740000;92;58;06.09.2025
Andreas;51990000;91;33;06.09.2025
Dominik;59360000;90;43;06.09.2025
Nico;52240000;76;28;06.09.2025
Alfons;74600000;70;43;06.09.2025
Christian;34180000;58;26;06.09.2025
Pascal;44660000;45;27;06.09.2025
Thomas;90550000;96;48;07.09.2025
Christoph;58510000;92;58;07.09.2025
Andreas;52850000;91;33;07.09.2025
Dominik;59510000;90;43;07.09.2025
Nico;56730000;76;28;07.09.2025
Alfons;76920000;70;43;07.09.2025
Christian;36160000;58;26;07.09.2025
Pascal;45200000;45;27;07.09.2025
Thomas;81330000;96;48;08.09.2025
Christoph;58700000;92;58;08.09.2025
Andreas;52440000;91;33;08.09.2025
Dominik;75430000;90;43;08.09.2025
Nico;51550000;76;28;08.09.2025
Alfons;75070000;70;43;08.09.2025
Christian;37360000;58;26;08.09.2025
Pascal;44300000;45;27;08.09.2025
Thomas;91060000;96;48;09.09.2025
Christoph;59190000;92;58;09.09.2025
Andreas;52720000;91;33;09.09.2025
Dominik;56950000;90;43;09.09.2025
Nico;49220000;76;28;09.09.2025
Alfons;75960000;70;43;09.09.2025
Christian;37450000;58;26;09.09.2025
Pascal;43860000;45;27;09.09.2025
Thomas;89990000;96;48;10.09.2025
Christoph;60050000;92;58;10.09.2025
Andreas;52540000;91;33;10.09.2025
Dominik;56720000;90;43;10.09.2025
Nico;48310000;76;28;10.09.2025
Alfons;76090000;70;43;10.09.2025
Christian;37610000;58;26;10.09.2025
Pascal;43660000;45;27;10.09.2025
Thomas;79820000;96;48;11.09.2025
Christoph;60590000;92;58;11.09.2025
Andreas;53010000;91;33;11.09.2025
Dominik;57230000;90;43;11.09.2025
Nico;48580000;76;28;11.09.2025
Alfons;77230000;70;43;11.09.2025
